hot_diggity_d, honestly would ive seen first hand effect drugs alcohol depression
lov4koo, 2000 days bts wow  love bts  bts cannot touched address diverse fans many times always want us know matter  bts fan interactions  im never gonna stop talking abt performance bts  bts different period  feels like post concert depression  bts genuine love  im never gonna able let bts go  kim namjoon kim seokjin min yoongi jung hoseok park jimin kim taehyung jeon jungkook bts  girl bts got daesangs bag  thisnisnthe best stage bts ever fone holy crapjfksjfjsns
admthemistocles, keep motivating things get rough depression currently kicking  idk deal crippling loneliness sometimes honestly depression bitch  could stress probably see doctor though im way qualified diagnose anything haha
imshailozano, depression scary fact doesnt cause depressed even yo
notthatbobbitt, love depression naps  submitted first big thing college today icd running wild doesnt anything im super depressed  depression bus pulled stationed ladies gentlemenand broken moving  guy tried tell yesterday anxiety choice need stop putting much pressure  love able sleep anxiety  everything going life ocd gotten lot worse wont let stop school workin  dont think ive consistently severely depressed long since like 12  depression ocd makes weirdest combination sometimeslike depression telling  got text thought well goes idea good day forgot fucking anxiety meds day
sunshinerays23, depression sucks  always say seasonal depression say every season guess depression
Niggayoongi, wbk bts powerful grps avoid cb season  know jin later today eat rest bts take nap  miss bts  tae yoongi lazy dont even belong sentence bts put everything every perfor  armys bts elitists follow faves would never disrespesctful  bts invented manners bowing seniors juniors stan humble kings know came despite success  talk abt toxic fans yall niggas come bts breathing next  emo bts brings many people joy happiness temporary release sadness dep  talent sleep stan bts peace  show boring bts came snapped idol  exols claiming theyre unbothered busting lung bts awards took home tonight skshsjdhskkssjshsjdb  didnt go bc bts still wouldve taken home awards  tea stream epiphany bts eat tonight  bts deserved artist robbed yall move along  jimin bts love us sm
kerryaartwork, get never actual thing ive caught anxiety effects physically
atnayeon, friend really thought joking said one reasons depressed death ca  one cares depressed whole week months actually isolated irl friends didnt  glad depression happened dont see shits last week
Allanjalexander, alcohol depressant people drink alcohol feeling depressed ha
fewixuwu, wanna draw ocs depression
KellyinPA63, meaning minimize stress caused trolls damn predictable  busy since trip course anxiety ridden prior election finally feeling able breathe  want stress eat drink shop today taking strength excess nailbiting emoji
PATD_A7x, never thought would ever suffer depression bad currently always held together ove  back mean liking retweeting occasionally tweeting depression
gravesbones, oh bitch bitch dont feel good eyes feel warm throat sore shit depression  anxiety fucking roooooof hey least get wake 8am tomorrow go babysit woul  hey bpd people got thought head dont fp im  cope ur best friend turning bts fan every time mention send back venom gif
MikeGallagher40, mark talk clark carlisle tell real depression hav
SabeloMabida, eskom gonna humiliate us anxiety  least tomorrow wont post groove depression coz ill watching queen tweeting  post groove depression
Tommyroed, think chemical imbalance brain well keem definitely depression
stan_lee37, ever seen real depression paul come chicago
Joy4u67, today going good day depression bad done everything know im lost  im going bed depressed stay longer  super depressed im going bed feeling depressed
mildhippie, lmao depression anxiety full time job full time student manage still  angel aura rose quartz moon crystal stone unconditional love fosters empathy lowers stress
shuriquill, course depression rly actually depression tiring  pukima bodo sial pny orang2 teda guna suicide fucking joke go fuck
BLEEDABSlNTHE, made entire separate acc bts much work switching  like taking depression tests  wish therapists help sad depressed always
ramen_keen, ooo finally leg depression bitches
Nicks592, victim depression past difficult journey know fee
JBizzleBeard, shout currently smothered controlled depression even though feel completely  blue horrible feeling hang pal youre complete opposite whatever depression says  depression massive asshole tries find sneaky ways getting head even slightly allo  also post try educate people dont believe depression real im man wond  lets make difference children found caught domestic abuse certainly wont
SophiaCariad, islamophobia bullying concern severe anxiety amp find distressing
imysticdoll, see depression people assaulted etc platform
uwufucker666, value individual existence increases every single time bts says theyre happy  everuone pleqse stop cruijg chronic depression  fuck depression bts said sweg lives matter  bts made feel like  never seen anything bts  believe given eyes could see bts perform theres literally reason existence  bts raised right mothers womb  free bisexual today eof bts
